,gene_id,AT5G17300,AT5G67190,AT5G65310,AT2G46270,AT3G62420
NAC_VND4_col,AT1G12260,,,,yes,
NAC_VND4_colamp_a,AT1G12260,,,,yes,
NAC_VND6_col_v31,AT5G62380,,,,yes,
NAC_VND6_colamp_a,AT5G62380,,,,yes,
ND_FRS9_col_a,AT4G38170,,yes,yes,,
ND_FRS9_colamp_a,AT4G38170,,,,,
Orphan_AT1G24250_col_a,AT1G24250,,,,,
Orphan_BBX31_col_a,AT3G21890,,,yes,,yes
RAV_RAV1_col,AT1G13260,,,,,
RAV_RAV1_colamp_a,AT1G13260,,,,,
REM_REM19_col_a,AT1G49480,,,,,
REM_REM19_colamp_a,AT1G49480,,,,yes,yes
RWPRK_NLP7_col_a,AT4G24020,,,,,
RWPRK_RKD2_col_a,AT1G74480,,,,,
RWPRK_RKD2_colamp_a,AT1G74480,,,,yes,
S1Falike_AT3G09735_col_a,AT3G09735,,,,,
SBP_SPL1_col_a,AT2G47070,,yes,,,
SBP_SPL1_colamp_a,AT2G47070,,yes,,,
SBP_SPL13_col_a,AT5G50670,,,,,
SBP_SPL14_col_a,AT1G20980,,,,,
SBP_SPL15_colamp_a,AT3G57920,,yes,,yes,
SBP_SPL5_col_a,AT3G15270,,,,,
SBP_SPL5_colamp_a,AT3G15270,,yes,,yes,
SBP_SPL9_col_a,AT2G42200,,yes,,yes,
SBP_SPL9_colamp_a,AT2G42200,,yes,,yes,
SRS_SRS7_colamp_a,AT1G19790,,,,yes,
TCP_At1g69690_col_a,AT1G69690,,,,yes,
TCP_At1g72010_col,AT1G72010,,,,yes,
TCP_At1g72010_colamp_a,AT1G72010,,,,yes,
TCP_At2g45680_col_b,AT2G45680,,,,,
TCP_At5g08330_col_a,AT5G08330,,,,yes,
TCP_TCP20_col_a,AT3G27010,,,,yes,
TCP_TCP24_col,AT1G30210,,,,yes,
TCP_TCP3_col,AT1G53230,,,,yes,
TCP_TCP7_col_a,AT5G23280,,,,,
Trihelix_AT1G76880_col_a,AT1G76880,,,,,
Trihelix_AT2G33550_colamp_a,AT2G33550,,yes,,yes,
Trihelix_AT3G10030_col_a,AT3G10030,,,,,
Trihelix_AT3G10030_colamp_a,AT3G10030,,,,,
Trihelix_At3g14180_col,AT3G14180,,,,,
Trihelix_AT3G25990_colamp_a,AT3G25990,,,,,
Trihelix_AT5G05550_col_a,AT5G05550,yes,,,,
Trihelix_AT5G05550_colamp_a,AT5G05550,,,,,
Trihelix_AT5G47660_colamp_a,AT5G47660,,,yes,,
Trihelix_GT1_col_a,AT1G13450,,,,,
Trihelix_GT2_col_a,AT1G76890,,,yes,,
Trihelix_GT2_colamp_a,AT1G76890,,,yes,,
Trihelix_GT3a_col_a,AT5G01380,,,,,
Trihelix_GTL1_col_a,AT1G33240,,,yes,,
Trihelix_GTL1_colamp_a,AT1G33240,,,yes,,
WRKY_WRKY14_col_a,AT1G30650,,,,,
WRKY_WRKY14_colamp_a,AT1G30650,,,,,
WRKY_WRKY15_col_b,AT2G23320,,,,,
WRKY_WRKY15_colamp_a,AT2G23320,,,,,
WRKY_WRKY18_col_a,AT4G31800,,,,,
WRKY_WRKY18_colamp_a,AT4G31800,,,,,
WRKY_WRKY20_col_a,AT4G26640,,,,,
WRKY_WRKY21_col,AT2G30590,,,,,
WRKY_WRKY22_col,AT4G01250,,yes,,,
WRKY_WRKY22_colamp_a,AT4G01250,,,,,
WRKY_WRKY24_col_a,AT5G41570,,,,,
WRKY_WRKY24_colamp_a,AT5G41570,,,,,
WRKY_WRKY25_col_a,AT2G30250,,,,,
WRKY_WRKY25_colamp_a,AT2G30250,,,,,
WRKY_WRKY27_col_a,AT5G52830,,,,,
WRKY_WRKY27_colamp_a,AT5G52830,,,,,
WRKY_WRKY28_col_a,AT4G18170,,,yes,,
WRKY_WRKY29_col_a,AT4G23550,,,,,
WRKY_WRKY29_colamp_a,AT4G23550,,,,,
WRKY_WRKY3_col_a,AT2G03340,,,,,
WRKY_WRKY30_colamp_a,AT5G24110,,,,,
WRKY_WRKY31_colamp_a,AT4G22070,,,,,
WRKY_WRKY33_col_a,AT2G38470,,,,,
WRKY_WRKY40_col,AT1G80840,,,,,
WRKY_WRKY45_col_a,AT3G01970,,,,,
WRKY_WRKY45_colamp_a,AT3G01970,,,,,
WRKY_WRKY50_col_a,AT5G26170,,,,,
WRKY_WRKY55_col_a,AT2G40740,,,,,
WRKY_WRKY6_colamp_a,AT1G62300,,,,,
WRKY_WRKY65_col_a,AT1G29280,,,,,
WRKY_WRKY65_colamp_a,AT1G29280,,,,,
WRKY_WRKY7_col,AT4G24240,,,,,
WRKY_WRKY70_col,AT3G56400,,,,,
WRKY_WRKY71_col_a,AT1G29860,,,,,
WRKY_WRKY75_col_a,AT5G13080,,,,,
WRKY_WRKY75_colamp_a,AT5G13080,,,,,
WRKY_WRKY8_col,AT5G46350,,,,,
WRKY_WRKY8_colamp_a,AT5G46350,,,,,
zfGRF_AT3G42860_col_a,AT3G42860,,,,,
ZFHD_ATHB23_col_b,AT5G39760,,,yes,,
ZFHD_ATHB23_colamp_a,AT5G39760,,,yes,,
ZFHD_ATHB24_col_a,AT2G18350,,,,,
ZFHD_ATHB24_colamp_a,AT2G18350,,,,,
ZFHD_ATHB25_col_a,AT5G65410,,,,,
ZFHD_ATHB25_colamp_a,AT5G65410,,,yes,,yes
ZFHD_AtHB32_col200_a,AT1G14687,yes,,,yes,
ZFHD_ATHB33_col_a,AT1G75240,,,,,yes
ZFHD_ATHB33_colamp_a,AT1G75240,,,,,yes
ZFHD_ATHB34_col_a,AT3G28920,,,,,
ZFHD_ATHB34_colamp_a,AT3G28920,,,yes,,
