ID 	mean_control	mean_IAA	Fold_Changes	logFC	p-value	FDR
AT4G03560	115.2	147.32	1.279	0.355	0.26	0.83
AT4G03570	0	0.43	Inf	Inf	1	1
AT4G03600	0.59	0	0	NA	0.932	1
AT4G03610	11.06	6.47	0.585	-0.774	0.482	0.999
AT4G03620	0	0.73	Inf	Inf	0.906	1
AT4G03635	1.18	10.15	8.618	3.107	0.401	0.962
AT4G03820	3.72	19.8	5.329	2.414	0.00839	0.0948
AT4G03940	0.63	0	0	NA	0.932	1
AT4G03960	3.13	2.8	0.896	-0.158	1	1
AT4G03965	0.63	0	0	NA	0.932	1
AT4G04020	5.98	15	2.508	1.326	0.159	0.662
AT4G04040	23.93	17.07	0.713	-0.487	0.474	0.999
AT4G04180	3.04	11.1	3.656	1.87	0.109	0.547
AT4G04190	0.59	3.65	6.2	2.632	0.373	0.943
AT4G04200	3.58	10.3	2.876	1.524	0.211	0.753
AT4G04210	19.44	17.01	0.875	-0.193	0.823	1
AT4G04220	1.22	2.01	1.642	0.716	0.934	1
AT4G04320	8.61	17.98	2.088	1.062	0.18	0.706
AT4G04340	43.82	28.81	0.657	-0.605	0.181	0.706
AT4G04350	8.34	12.06	1.446	0.532	0.696	1
AT4G04360	0	1.22	Inf	Inf	0.727	1
AT4G04370	1.77	9.81	5.552	2.473	0.0791	0.452
AT4G04402	1.18	0	0	NA	0.638	1
AT4G04423	0	0.73	Inf	Inf	0.906	1
AT4G04450	1.9	0	0	NA	0.476	0.999
AT4G04460	3.63	2.38	0.655	-0.61	0.803	1
AT4G04470	17.4	12.24	0.703	-0.508	0.638	1
AT4G04490	0	6.22	Inf	Inf	0.0432	0.304
AT4G04610	37.75	11.51	0.305	-1.713	0.0424	0.301
AT4G04614	6.03	18.04	2.993	1.582	0.0691	0.415
AT4G04620	3.63	9.94	2.742	1.455	0.218	0.767
AT4G04630	1.27	3.42	2.693	1.429	0.556	1
AT4G04640	29.73	10.36	0.348	-1.521	0.0148	0.144
AT4G04670	6.07	28.64	4.717	2.238	0.00244	0.0372
AT4G04680	0	0.85	Inf	Inf	0.886	1
AT4G04695	10.2	6.58	0.646	-0.631	0.56	1
AT4G04700	10.11	9.55	0.945	-0.081	0.941	1
AT4G04710	1.22	0	0	NA	0.634	1
AT4G04720	32.63	25.71	0.788	-0.344	0.496	1
AT4G04740	27.92	22.18	0.794	-0.332	0.552	1
AT4G04745	6.07	7.31	1.203	0.267	0.922	1
AT4G04750	1.22	0.85	0.696	-0.524	1	1
AT4G04760	1.27	0	0	NA	0.63	1
AT4G04770	41.74	37.9	0.908	-0.139	0.747	1
AT4G04780	6.12	12.19	1.992	0.994	0.321	0.895
AT4G04790	2.36	10.18	4.319	2.111	0.108	0.545
AT4G04800	28.23	9.2	0.326	-1.618	0.0137	0.137
AT4G04810	6.16	0.85	0.138	-2.856	0.11	0.549
AT4G04830	156.93	20.63	0.131	-2.927	1.11E-06	5.54E-05
AT4G04840	62.9	3.9	0.062	-4.011	1.16E-05	0.000431
AT4G04850	29.82	13.16	0.441	-1.18	0.0484	0.33
AT4G04860	10.38	11.59	1.116	0.159	0.891	1
AT4G04870	4.76	15.05	3.163	1.661	0.0938	0.502
AT4G04880	4.26	0.43	0.1	-3.323	0.174	0.691
AT4G04885	28.87	44.25	1.533	0.616	0.186	0.715
AT4G04890	0	5.06	Inf	Inf	0.0835	0.464
AT4G04900	1.86	0	0	NA	0.42	0.97
AT4G04910	64.35	48.37	0.752	-0.412	0.284	0.859
AT4G04920	66.34	64.71	0.975	-0.036	0.959	1
AT4G04925	4.94	2.26	0.457	-1.129	0.56	1
AT4G04940	17.58	58.38	3.32	1.731	0.000381	0.00861
AT4G04950	45.91	64.81	1.412	0.497	0.221	0.772
AT4G04955	25.06	19.39	0.774	-0.37	0.579	1
AT4G04960	18.4	17.5	0.951	-0.073	0.987	1
AT4G04970	51.35	47.09	0.917	-0.125	0.787	1
AT4G04972	1.77	2.26	1.278	0.353	1	1
AT4G04990	1.18	0	0	NA	0.638	1
AT4G05000	14.14	9.93	0.702	-0.51	0.561	1
AT4G05010	4.94	4.81	0.974	-0.038	1	1
AT4G05020	36.3	18.71	0.516	-0.956	0.0852	0.471
AT4G05040	7.34	7.73	1.053	0.075	1	1
AT4G05050	403.69	405.72	1.005	0.007	0.95	1
AT4G05060	18.31	8.83	0.482	-1.052	0.165	0.675
AT4G05070	35.48	22.38	0.631	-0.665	0.227	0.782
AT4G05090	7.3	1.58	0.217	-2.203	0.141	0.626
AT4G05091	0.59	1.1	1.866	0.9	0.997	1
AT4G05100	15.36	29.5	1.92	0.941	0.119	0.574
AT4G05110	0	2.01	Inf	Inf	0.474	0.999
AT4G05120	1.81	12.5	6.893	2.785	0.0264	0.217
AT4G05150	114.74	51.64	0.45	-1.152	0.000483	0.0104
AT4G05160	43.91	37.65	0.857	-0.222	0.619	1
AT4G05170	1.22	0	0	NA	0.634	1
AT4G05180	8.16	0.79	0.097	-3.364	0.201	0.741
AT4G05190	33.72	108.51	3.218	1.686	3.27E-05	0.00108
AT4G05200	25.06	22.35	0.892	-0.165	0.787	1
AT4G05210	0	1.53	Inf	Inf	0.603	1
AT4G05220	0.63	1.47	2.311	1.208	0.86	1
AT4G05320	1692.16	2013.38	1.19	0.251	0.107	0.541
AT4G05330	10.83	2.07	0.191	-2.388	0.0495	0.336
AT4G05390	20.71	12.55	0.606	-0.722	0.304	0.878
AT4G05400	8.52	24.44	2.868	1.52	0.0372	0.277
AT4G05410	19.49	40.82	2.095	1.067	0.045	0.313
AT4G05420	122.4	121.81	0.995	-0.007	1	1
AT4G05440	3.72	13.36	3.595	1.846	0.11	0.549
AT4G05450	2.49	5.66	2.272	1.184	0.492	1
AT4G05460	20.3	16.2	0.798	-0.326	0.625	1
AT4G05520	7.84	23.28	2.969	1.57	0.0389	0.285
AT4G05530	38.29	23.34	0.609	-0.715	0.153	0.65
AT4G05590	1.77	0	0	NA	0.465	0.999
AT4G05631	87.87	91.34	1.039	0.056	0.867	1
AT4G06534	12.28	1.28	0.104	-3.266	0.00828	0.0943
AT4G06536	6.12	0	0	NA	0.0224	0.195
AT4G06598	7.93	3.05	0.385	-1.379	0.306	0.878
AT4G06599	18.9	9.74	0.515	-0.956	0.187	0.716
AT4G06634	12.01	12.38	1.031	0.044	1	1
AT4G06676	12.96	17.66	1.363	0.446	0.577	1
AT4G06744	60.73	12.31	0.203	-2.303	2.83E-06	0.000125
AT4G06746	2.36	1.64	0.697	-0.52	0.891	1
AT4G07390	19.67	18.96	0.964	-0.053	1	1
AT4G07400	0.63	0.37	0.578	-0.792	1	1
AT4G07408	1.18	0.73	0.622	-0.685	1	1
AT4G07410	43.55	106.61	2.448	1.292	0.000174	0.00455
AT4G07670	3.08	3.17	1.028	0.04	1	1
AT4G07675	0	1.22	Inf	Inf	0.727	1
AT4G07820	13.69	2.32	0.169	-2.562	0.0826	0.461
AT4G07825	14.82	9.81	0.662	-0.595	0.502	1
AT4G07940	3.63	0.43	0.117	-3.091	0.244	0.81
AT4G07950	11.01	10.17	0.923	-0.115	0.919	1
AT4G07960	20.17	4.75	0.236	-2.085	0.0119	0.123
AT4G07990	7.98	9.87	1.238	0.308	0.805	1
AT4G08040	3.67	14.2	3.868	1.952	0.06	0.379
AT4G08140	4.89	2.99	0.611	-0.71	0.735	1
AT4G08150	5.62	1.89	0.337	-1.571	0.379	0.943
AT4G08160	12.15	5.54	0.457	-1.131	0.244	0.81
AT4G08170	11.83	12.35	1.044	0.063	1	1
AT4G08180	53.97	49.57	0.918	-0.123	0.82	1
AT4G08190	16	8.9	0.556	-0.846	0.324	0.899
AT4G08210	0	4.02	Inf	Inf	0.155	0.655
AT4G08230	11.01	19.62	1.782	0.834	0.263	0.834
AT4G08240	5.44	4.88	0.898	-0.155	1	1
AT4G08250	3.53	3.83	1.084	0.116	1	1
AT4G08260	1.9	0.43	0.224	-2.161	0.645	1
AT4G08280	11.6	5.66	0.488	-1.035	0.287	0.864
AT4G08290	39.29	3.11	0.079	-3.66	3.17E-07	1.81E-05
AT4G08300	7.98	0	0	NA	0.00633	0.0769
AT4G08310	24.88	28.94	1.163	0.218	0.747	1
AT4G08320	10.29	21.27	2.067	1.048	0.16	0.665
AT4G08330	6.75	8.35	1.236	0.306	0.841	1
AT4G08350	80.21	107.73	1.343	0.426	0.171	0.69
AT4G08360	2.99	0	0	NA	0.186	0.715
AT4G08390	42.92	43.69	1.018	0.026	1	1
AT4G08400	174.34	18.15	0.104	-3.264	1.11E-06	5.54E-05
AT4G08410	229.08	26.13	0.114	-3.132	6.27E-07	3.26E-05
AT4G08450	1.86	1.95	1.05	0.07	1	1
AT4G08455	4.94	6.51	1.319	0.399	0.836	1
AT4G08460	52.93	53.96	1.019	0.028	0.951	1
AT4G08470	20.89	17.5	0.838	-0.256	0.753	1
AT4G08480	43.87	20.68	0.471	-1.085	0.0339	0.26
AT4G08500	35.57	36.74	1.033	0.047	0.952	1
AT4G08510	7.34	29.6	4.032	2.012	0.00456	0.0601
AT4G08520	23.47	31.8	1.355	0.438	0.503	1
AT4G08540	14.82	13.36	0.901	-0.15	0.954	1
AT4G08555	0.63	0.43	0.671	-0.576	1	1
AT4G08570	0.59	0	0	NA	0.932	1
AT4G08580	53.16	60.71	1.142	0.192	0.622	1
AT4G08590	10.24	12.32	1.203	0.266	0.801	1
AT4G08620	4.94	0.43	0.086	-3.537	0.122	0.58
AT4G08685	8.11	8.16	1.006	0.008	1	1
AT4G08690	37.34	32.34	0.866	-0.207	0.667	1
AT4G08700	2.99	3.17	1.059	0.083	1	1
AT4G08770	159.38	104.78	0.657	-0.605	0.0241	0.204
AT4G08780	60.68	42.7	0.704	-0.507	0.181	0.707
AT4G08790	6.8	5.12	0.753	-0.409	0.808	1
AT4G08810	40.29	45.64	1.133	0.18	0.703	1
AT4G08850	58.5	66.19	1.131	0.178	0.801	1
AT4G08870	0	1.22	Inf	Inf	0.727	1
AT4G08900	17.76	9.32	0.524	-0.931	0.218	0.767
AT4G08920	95.8	52.65	0.55	-0.863	0.0111	0.117
AT4G08930	32.58	9.33	0.286	-1.805	0.00463	0.0606
AT4G08940	3.81	3.11	0.817	-0.292	1	1
AT4G08950	22.93	29.04	1.266	0.341	0.672	1
AT4G08960	7.3	9.69	1.329	0.41	0.724	1
AT4G08980	31.9	27.97	0.877	-0.19	0.75	1
AT4G08990	0.59	0	0	NA	0.932	1
AT4G09000	199.26	223.91	1.124	0.168	0.461	0.999
AT4G09010	2.54	0.43	0.168	-2.576	0.56	1
AT4G09012	1.27	1.95	1.537	0.62	0.935	1
AT4G09020	8.02	7.5	0.934	-0.098	1	1
AT4G09030	9.79	7.86	0.803	-0.316	0.798	1
AT4G09040	8.16	15.3	1.875	0.907	0.273	0.848
AT4G09060	6.16	12.31	1.997	0.998	0.317	0.889
AT4G09080	0.59	0	0	NA	0.932	1
AT4G09100	1.18	0	0	NA	0.638	1
AT4G09110	0	0.73	Inf	Inf	0.906	1
AT4G09140	23.79	19.39	0.815	-0.295	0.672	1
AT4G09150	87.55	171.05	1.954	0.966	0.000467	0.0101
AT4G09160	18.26	23.08	1.264	0.337	0.676	1
AT4G09180	8.61	9.02	1.048	0.067	1	1
AT4G09200	18.17	49.04	2.698	1.432	0.0054	0.0683
AT4G09210	3.17	3.36	1.058	0.082	1	1
AT4G09250	15.09	40.51	2.685	1.425	0.0116	0.121
AT4G09260	3.76	3.36	0.893	-0.164	1	1
AT4G09300	0	1.89	Inf	Inf	0.491	1
AT4G09310	18.17	49.04	2.698	1.432	0.0054	0.0683
AT4G09320	121.63	245.33	2.017	1.012	0.00917	0.101
AT4G09340	10.51	17.5	1.664	0.735	0.331	0.907
AT4G09420	3.67	6.34	1.726	0.788	0.617	1
AT4G09460	23.29	75.32	3.233	1.693	7.33E-05	0.00218
AT4G09490	2.54	0	0	NA	0.418	0.97
AT4G09500	0.59	2.74	4.655	2.219	0.533	1
AT4G09510	16.41	18.58	1.133	0.18	0.851	1
AT4G09520	8.52	15.79	1.854	0.891	0.285	0.859
AT4G09550	4.35	5.91	1.359	0.442	0.795	1
AT4G09560	9.02	12.13	1.345	0.428	0.687	1
AT4G09570	31.13	43.46	1.396	0.481	0.306	0.878
AT4G09580	11.74	14.14	1.205	0.269	0.76	1
AT4G09620	7.43	8.96	1.206	0.27	0.825	1
AT4G09630	31.54	26.88	0.852	-0.231	0.759	1
AT4G09640	7.25	3.11	0.429	-1.222	0.369	0.942
AT4G09650	20.08	8.41	0.419	-1.256	0.0892	0.484
AT4G09670	30.41	40	1.316	0.396	0.577	1
AT4G09680	38.25	36.67	0.959	-0.061	0.931	1
AT4G09720	15.23	10.41	0.684	-0.548	0.49	1
AT4G09730	12.82	25.72	2.006	1.004	0.124	0.581
AT4G09750	19.4	6.64	0.343	-1.546	0.0511	0.342
AT4G09760	9.2	3.29	0.357	-1.485	0.205	0.746
AT4G09770	6.66	10.53	1.581	0.661	0.577	1
AT4G09780	1.81	2.13	1.174	0.231	1	1
AT4G09784	1.18	0	0	NA	0.638	1
AT4G09800	112.16	176.47	1.573	0.654	0.0124	0.127
AT4G09810	8.07	1.58	0.196	-2.348	0.108	0.544
AT4G09830	58.41	42.9	0.734	-0.445	0.286	0.862
AT4G09840	0	1.16	Inf	Inf	0.738	1
AT4G09870	0	0.37	Inf	Inf	1	1
AT4G09890	4.98	1.58	0.318	-1.654	0.378	0.943
AT4G09920	0.59	1.89	3.211	1.683	0.74	1
AT4G09940	0	2.92	Inf	Inf	0.307	0.878
AT4G09950	5.48	3.9	0.711	-0.491	0.79	1
AT4G09970	0	0.73	Inf	Inf	0.906	1
AT4G09980	18.99	42.06	2.215	1.147	0.0261	0.216
AT4G09990	18.53	0	0	NA	7.78E-06	0.000302
AT4G10000	1.77	5.18	2.93	1.551	0.433	0.98
AT4G10030	7.89	13.05	1.655	0.727	0.427	0.973
AT4G10040	16.54	9.81	0.593	-0.753	0.353	0.928
AT4G10050	12.42	15.55	1.252	0.324	0.668	1
AT4G10060	0	0.43	Inf	Inf	1	1
AT4G10070	14.5	19.02	1.312	0.391	0.603	1
AT4G10080	35.8	33.16	0.926	-0.111	0.896	1
AT4G10090	1.77	11.21	6.341	2.665	0.0477	0.327
AT4G10100	16.41	8.48	0.517	-0.953	0.252	0.817
AT4G10110	7.84	11.35	1.448	0.534	0.663	1
AT4G10120	8.52	4.33	0.508	-0.978	0.417	0.97
AT4G10130	6.03	7.42	1.232	0.301	0.927	1
AT4G10140	3.63	5.97	1.647	0.72	0.68	1
AT4G10170	3.04	7.5	2.468	1.304	0.361	0.936
AT4G10180	24.02	10.71	0.446	-1.165	0.102	0.527
AT4G10200	0.63	0	0	NA	0.932	1
AT4G10265	0	0.79	Inf	Inf	0.896	1
AT4G10270	1.18	0.37	0.311	-1.685	0.855	1
AT4G10280	1.9	7.67	4.031	2.011	0.183	0.709
AT4G10300	4.31	3.53	0.821	-0.284	0.95	1
AT4G10310	16.54	5.66	0.342	-1.547	0.0697	0.418
AT4G10320	132.96	220.08	1.655	0.727	0.00308	0.0443
AT4G10330	3.63	7.01	1.934	0.951	0.511	1
AT4G10340	23.11	3.11	0.135	-2.894	0.000695	0.014
AT4G10350	1.27	1.1	0.867	-0.207	1	1
AT4G10360	13.37	11.88	0.889	-0.17	0.864	1
AT4G10370	6.25	11.09	1.773	0.826	0.415	0.97
AT4G10380	31.63	19.62	0.62	-0.689	0.217	0.766
AT4G10390	14.68	8.54	0.581	-0.783	0.376	0.943
AT4G10400	3.76	7.19	1.911	0.934	0.5	1
AT4G10410	0	0.79	Inf	Inf	0.896	1
AT4G10420	1.18	0.79	0.672	-0.573	1	1
AT4G10430	12.15	8.05	0.663	-0.593	0.553	1
AT4G10440	0.63	3.35	5.273	2.399	0.47	0.999
AT4G10450	38.34	80.19	2.092	1.065	0.00482	0.0625
AT4G10470	7.98	6.34	0.794	-0.332	0.818	1
AT4G10480	94.08	213.01	2.264	1.179	6.24E-06	0.00025
AT4G10500	0.59	0	0	NA	0.932	1
AT4G10510	2.45	1.28	0.522	-0.939	0.766	1
AT4G10540	0	0.85	Inf	Inf	0.886	1
AT4G10550	7.48	8.54	1.142	0.191	0.88	1
AT4G10560	6.66	3.11	0.467	-1.099	0.444	0.991
AT4G10570	51.44	61.6	1.198	0.26	0.512	1
AT4G10590	64.08	67.81	1.058	0.082	0.865	1
AT4G10600	0	0.43	Inf	Inf	1	1
AT4G10610	67.66	47.24	0.698	-0.518	0.194	0.731
AT4G10620	13.5	15.24	1.128	0.174	0.847	1
AT4G10630	3.58	1.22	0.34	-1.556	0.48	0.999
AT4G10640	4.85	2.62	0.541	-0.886	0.647	1
AT4G10650	0	5.73	Inf	Inf	0.0556	0.36
AT4G10660	0	1.1	Inf	Inf	0.75	1
AT4G10670	9.65	10.78	1.117	0.16	0.957	1
AT4G10695	0	1.95	Inf	Inf	0.482	0.999
AT4G10700	0	1.1	Inf	Inf	0.75	1
AT4G10710	104.87	158.93	1.516	0.6	0.0284	0.229
AT4G10720	1.81	0	0	NA	0.423	0.97
AT4G10730	18.26	28.77	1.576	0.656	0.265	0.838
AT4G10750	7.34	13.29	1.81	0.856	0.357	0.934
AT4G10760	14.91	22.56	1.513	0.597	0.345	0.92
AT4G10770	18.63	7.5	0.402	-1.313	0.197	0.737
AT4G10780	1.22	0	0	NA	0.634	1
AT4G10790	47.67	61.4	1.288	0.365	0.38	0.943
AT4G10800	3.04	2.86	0.942	-0.086	1	1
AT4G10810	15.91	16.33	1.026	0.038	1	1
AT4G10840	223.01	134.1	0.601	-0.734	0.00305	0.0439
AT4G10845	1.81	2.99	1.65	0.722	0.812	1
AT4G10890	2.99	9.26	3.095	1.63	0.221	0.772
AT4G10920	14.18	14.88	1.049	0.069	0.926	1
AT4G10925	12.01	16.75	1.395	0.48	0.593	1
AT4G10930	37.48	41.34	1.103	0.142	0.827	1
AT4G10940	1.81	5.6	3.091	1.628	0.377	0.943
AT4G10970	17.76	14.64	0.824	-0.28	0.76	1
AT4G11010	175.52	134.85	0.768	-0.38	0.176	0.696
AT4G11030	0	0.37	Inf	Inf	1	1
AT4G11050	9.7	2.8	0.289	-1.791	0.131	0.602
AT4G11060	1.81	7.55	4.167	2.059	0.189	0.721
AT4G11080	12.78	20.79	1.627	0.702	0.312	0.883
AT4G11090	10.51	9.87	0.939	-0.091	0.998	1
AT4G11110	85.7	71.27	0.832	-0.266	0.414	0.97
AT4G11120	17.18	24.98	1.454	0.54	0.4	0.961
AT4G11130	23.11	19.38	0.838	-0.254	0.69	1
AT4G11140	1.22	15.12	12.358	3.627	0.00387	0.0533
AT4G11150	147.83	116.21	0.786	-0.347	0.191	0.726
AT4G11160	28.82	102.99	3.573	1.837	1.14E-06	5.64E-05
AT4G11170	0	2.49	Inf	Inf	0.371	0.942
AT4G11175	3.08	5.24	1.699	0.765	0.685	1
AT4G11190	46.86	4.99	0.106	-3.232	3.63E-05	0.00117
AT4G11210	2.49	0	0	NA	0.276	0.849
AT4G11211	5.53	1.22	0.22	-2.183	0.222	0.773
AT4G11220	38.57	46.94	1.217	0.284	0.691	1
AT4G11230	14.09	19.62	1.392	0.478	0.507	1
AT4G11240	32.36	56.88	1.758	0.814	0.0567	0.364
AT4G11260	82.98	93.63	1.128	0.174	0.55	1
AT4G11270	75.77	100.34	1.324	0.405	0.219	0.77
AT4G11280	8.61	13.1	1.521	0.605	0.52	1
AT4G11290	182.22	24.61	0.135	-2.888	4.71E-19	1.20E-16
AT4G11300	16	8.9	0.556	-0.846	0.324	0.899
AT4G11310	45	5.91	0.131	-2.928	4.36E-05	0.00138
AT4G11320	239.95	23.51	0.098	-3.351	4.82E-09	4.04E-07
AT4G11330	10.92	7.85	0.719	-0.477	0.592	1
AT4G11340	0	2.55	Inf	Inf	0.501	1
AT4G11350	6.12	5.9	0.964	-0.053	0.995	1
AT4G11360	22.98	10.86	0.473	-1.08	0.262	0.834
AT4G11370	1.22	0	0	NA	0.634	1
AT4G11380	105.23	75.72	0.72	-0.475	0.113	0.557
AT4G11390	3.17	0	0	NA	0.378	0.943
AT4G11393	0	0.73	Inf	Inf	0.906	1
AT4G11400	1.86	3.23	1.737	0.797	0.796	1
AT4G11410	6.66	4.39	0.658	-0.603	0.661	1
AT4G11420	256.72	442.92	1.725	0.787	8.59E-05	0.0025
AT4G11440	4.8	4.5	0.938	-0.093	0.991	1
AT4G11450	22.66	22.72	1.003	0.004	1	1
AT4G11530	17.72	29.55	1.668	0.738	0.215	0.763
AT4G11540	1.18	0.79	0.672	-0.573	1	1
AT4G11550	7.98	4.27	0.535	-0.902	0.489	1
AT4G11560	28.1	31.32	1.115	0.156	0.808	1
AT4G11570	43.78	34.05	0.778	-0.363	0.398	0.96
AT4G11600	95.03	59.23	0.623	-0.682	0.0389	0.285
AT4G11610	17.95	10.31	0.574	-0.8	0.392	0.953
AT4G11630	14.82	13.7	0.925	-0.113	0.919	1
AT4G11640	0.59	0	0	NA	0.932	1
AT4G11650	52.75	39.3	0.745	-0.425	0.292	0.869
AT4G11655	1.86	0.73	0.395	-1.342	0.804	1
AT4G11660	9.15	10.78	1.178	0.236	0.871	1
AT4G11670	40.88	29.24	0.715	-0.484	0.295	0.871
AT4G11680	13.37	9.08	0.679	-0.558	0.527	1
AT4G11690	0	5.6	Inf	Inf	0.0636	0.393
AT4G11700	0	0.37	Inf	Inf	1	1
AT4G11730	0	1.64	Inf	Inf	0.583	1
AT4G11740	23.34	24.8	1.063	0.088	0.907	1
AT4G11780	5.39	2.38	0.441	-1.182	0.461	0.999
AT4G11790	25.56	39.27	1.536	0.62	0.413	0.97
AT4G11800	30.23	37.97	1.256	0.329	0.53	1
AT4G11820	95.35	117.5	1.232	0.301	0.324	0.899
AT4G11830	111.48	116.85	1.048	0.068	0.817	1
AT4G11840	78.26	102.81	1.314	0.394	0.208	0.749
AT4G11845	5.03	5.37	1.067	0.094	0.985	1
AT4G11850	117.87	143.85	1.22	0.287	0.282	0.855
AT4G11860	39.61	32.79	0.828	-0.272	0.589	1
AT4G11880	0.59	0.43	0.722	-0.469	1	1
AT4G11920	3.63	9.02	2.488	1.315	0.299	0.876
AT4G11950	1.22	0.43	0.348	-1.524	0.857	1
AT4G11960	7.98	2.2	0.276	-1.859	0.199	0.738
AT4G11970	4.21	9.88	2.345	1.23	0.319	0.892
AT4G11980	6.71	5.24	0.781	-0.357	0.808	1
AT4G11990	0.59	3.17	5.378	2.427	0.45	0.997
AT4G12000	4.98	5.85	1.174	0.231	0.911	1
AT4G12005	0	0.85	Inf	Inf	0.886	1
AT4G12010	21.89	29.63	1.353	0.437	0.446	0.993
AT4G12020	65.35	65.57	1.003	0.005	0.975	1
AT4G12030	12.96	1.22	0.094	-3.412	0.006	0.0745
AT4G12040	70.7	169.37	2.396	1.261	1.15E-05	0.000431
AT4G12050	25.79	19.07	0.74	-0.435	0.478	0.999
AT4G12060	6.16	12.2	1.98	0.985	0.314	0.887
AT4G12070	16.54	16.63	1.006	0.008	1	1
AT4G12080	95.21	85.33	0.896	-0.158	0.64	1
AT4G12090	2.4	1.16	0.482	-1.052	0.763	1
AT4G12110	10.97	13.48	1.229	0.297	0.74	1
AT4G12120	6.66	8.48	1.272	0.348	0.794	1
AT4G12130	7.34	7.98	1.087	0.12	0.996	1
AT4G12170	0.63	0.85	1.342	0.424	1	1
AT4G12230	45.77	42.89	0.937	-0.094	0.83	1
AT4G12240	1.77	7.86	4.448	2.153	0.167	0.679
AT4G12250	7.84	13.22	1.686	0.753	0.45	0.998
AT4G12270	2.49	1.1	0.441	-1.181	0.764	1
AT4G12290	0	2.86	Inf	Inf	0.3	0.876
AT4G12300	13.6	9.75	0.717	-0.479	0.622	1
AT4G12310	1.86	1.58	0.853	-0.23	1	1
AT4G12320	0.63	1.22	1.919	0.941	0.985	1
AT4G12330	12.82	9.5	0.741	-0.432	0.64	1
AT4G12340	45.63	39.21	0.859	-0.219	0.794	1
AT4G12382	0.59	0	0	NA	0.932	1
AT4G12390	44.05	33.94	0.771	-0.376	0.418	0.97
AT4G12400	13.41	57.61	4.295	2.103	0.00841	0.0949
AT4G12410	0	16.03	Inf	Inf	0.000175	0.00455
AT4G12420	131.24	482.22	3.674	1.877	6.55E-18	1.54E-15
AT4G12440	1.27	0	0	NA	0.63	1
AT4G12450	2.99	0.43	0.142	-2.813	0.34	0.913
AT4G12460	41.1	35.29	0.859	-0.22	0.672	1
AT4G12470	1.22	7.38	6.029	2.592	0.122	0.58
AT4G12480	3.04	41.55	13.686	3.775	5.15E-07	2.72E-05
AT4G12490	0	0.43	Inf	Inf	1	1
AT4G12500	0	0.73	Inf	Inf	0.906	1
AT4G12510	107.49	0	0	NA	4.09E-22	1.49E-19
AT4G12520	123.9	0	0	NA	2.38E-23	9.74E-21
AT4G12540	0.63	4.69	7.398	2.887	0.226	0.778
AT4G12545	472.3	727.05	1.539	0.622	0.012	0.124
AT4G12550	463.19	807.07	1.742	0.801	0.0097	0.105
AT4G12560	45.91	48.93	1.066	0.092	0.851	1
AT4G12570	35.3	36.55	1.035	0.05	0.98	1
AT4G12580	0.59	0	0	NA	0.932	1
AT4G12590	43.87	34.12	0.778	-0.363	0.418	0.97
AT4G12600	56.6	134.31	2.373	1.247	8.02E-05	0.00235
AT4G12610	24.25	37.23	1.535	0.619	0.251	0.816
AT4G12620	13.14	29.87	2.273	1.185	0.118	0.573
AT4G12640	39.06	34.61	0.886	-0.174	0.732	1
AT4G12650	195.41	140.99	0.721	-0.471	0.172	0.691
AT4G12670	14.09	13.29	0.943	-0.085	0.98	1
AT4G12680	7.39	5.49	0.743	-0.429	0.778	1
AT4G12690	10.97	5.54	0.506	-0.984	0.336	0.912
AT4G12700	12.87	10.6	0.824	-0.279	0.789	1
AT4G12710	11.06	12.73	1.151	0.203	0.864	1
AT4G12720	28.96	44.21	1.527	0.611	0.303	0.878
AT4G12730	154.12	70.58	0.458	-1.127	0.000106	0.00295
AT4G12735	0	0.85	Inf	Inf	0.886	1
AT4G12740	1.27	5.43	4.277	2.096	0.266	0.838
AT4G12750	11.01	39.67	3.603	1.849	0.00177	0.0289
AT4G12760	11.51	13.03	1.132	0.179	0.938	1
AT4G12770	73.1	68.08	0.931	-0.103	0.793	1
AT4G12780	76.72	70.52	0.919	-0.122	0.74	1
AT4G12790	22.79	30.45	1.336	0.418	0.474	0.999
AT4G12800	9.34	0	0	NA	0.0109	0.116
AT4G12840	7.98	5.79	0.726	-0.461	0.75	1
AT4G12850	0	2.68	Inf	Inf	0.317	0.889
AT4G12870	0.63	0.43	0.671	-0.576	1	1
AT4G12880	16.59	13.05	0.787	-0.346	0.712	1
AT4G12910	3.08	9.33	3.027	1.598	0.2	0.74
AT4G12940	1.27	0.43	0.335	-1.576	0.857	1
AT4G12980	1.77	9.68	5.478	2.454	0.0881	0.481
AT4G12990	1.77	3.3	1.866	0.9	0.811	1
AT4G13000	0.63	0	0	NA	0.932	1
AT4G13010	39.15	33.03	0.844	-0.245	0.628	1
AT4G13020	44.5	27.47	0.617	-0.696	0.131	0.604
AT4G13030	22.75	13.65	0.6	-0.736	0.287	0.864
AT4G13040	10.42	2.68	0.257	-1.958	0.104	0.532
AT4G13050	15.32	23.22	1.516	0.6	0.365	0.939
AT4G13070	6.03	8.77	1.455	0.541	0.691	1
AT4G13100	5.53	17.67	3.197	1.677	0.0562	0.362
AT4G13110	10.97	9.63	0.879	-0.187	0.908	1
AT4G13130	14.05	58.32	4.151	2.054	4.89E-05	0.00154
AT4G13150	3.67	8.45	2.303	1.203	0.646	1
AT4G13160	9.79	11.94	1.22	0.287	0.804	1
AT4G13170	24.83	67.17	2.705	1.436	0.001	0.0185
AT4G13180	10.33	22.2	2.149	1.104	0.192	0.727
