ID	logFC_0.5h	FDR_0.5h	logFC_1h	FDR_1h	logFC_2h	FDR_2h	logFC_4h	FDR_4h	logFC_8h	FDR_8h	logFC_12h	FDR_12h	logFC_24h	FDR_24h
AT1G01840	-0.027361603	0.97982136	-0.086397376	0.964583646	0.162669657	0.680806425	0.121147674	0.655221694	0.08192497	0.787770057	-0.216038705	0.544894629	0.036749092	0.96051477
AT1G01860	-0.087204399	0.916230999	0.027404071	0.990566808	0.184076756	0.635930044	-0.067490473	0.819502147	-0.046523501	0.870855059	-0.116576924	0.705907431	0.004715403	0.994618343
AT1G01900	-0.076905516	0.940152225	0.003315503	0.998901567	-1.440185601	0.048953304	-1.126874654	0.002442562	-0.651764444	0.066113837	0.43096147	0.1437416	-0.449473199	0.559979049
AT1G01910	-0.107437117	0.849454349	0.105620302	0.94352278	-0.179770889	0.61548513	-0.038451846	0.898018919	-0.148350875	0.496582511	-0.115273249	0.570825541	-0.111185796	0.85426258
AT1G01920	0.083113713	0.924580614	-0.049565832	0.978908775	0.152875141	0.736955303	-0.255371792	0.395775657	-0.32463182	0.165598882	-0.208506736	0.539024757	-0.378692037	0.37214198
AT1G01930	-0.038900312	0.969596334	0.002731078	0.999075402	0.114009246	0.814342001	0.274091267	0.290261476	0.208346698	0.424677515	0.02435639	0.933758376	0.125702054	0.85426258
AT1G01940	0.099214953	0.865389734	0.015640692	0.993248391	0.316437114	0.309006399	0.464798253	0.022151173	0.219891769	0.209518318	0.046081463	0.851286438	0.149005143	0.691819768
AT1G01950	0.122487278	0.875805203	-0.092416938	0.978195818	0.246798929	0.616315203	0.397180471	0.187242529	0.127840471	0.560886437	-0.023175616	0.928424343	0.086530898	0.903675017
AT1G01960	0.105935782	0.841564946	0.171649903	0.876460978	-0.076357965	0.868432588	0.02655528	0.931785796	0.102616872	0.657109397	0.258327545	0.122595786	0.201279896	0.571144031
AT1G01970	0.020157933	0.985972802	0.149845446	0.919695342	-0.193969234	0.606731102	0.104644235	0.749830928	0.315993086	0.161280486	-0.001145682	0.996976003	-0.204948912	0.71622902
AT1G01980	-0.061222387	0.916881705	0.119361337	0.916366357	-0.086458348	0.757185289	-0.020810364	0.941494591	-0.24115769	0.203079454	-0.141201085	0.456695207	-0.012787781	0.975570483
AT1G01990	-0.025599948	0.974016979	0.129339503	0.931169438	0.277817747	0.529482141	0.268962459	0.296681115	0.364032599	0.246963808	0.216361577	0.31567482	-0.018246851	0.975570483
AT1G02000	0.417950656	0.711056602	0.173403114	0.950480659	-0.080908021	0.891898588	0.164166095	0.634591697	0.418311139	0.144779844	0.550160127	0.050082401	0.052846352	0.947428401
AT1G02020	0.034793567	0.983490728	-0.026789871	0.993248391	-0.080305296	0.893626984	0.058743008	0.870320375	0.08858182	0.780802255	-0.117473642	0.689196076	-0.10765967	0.885976108
