"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G68862",43.6935660034996,0.0294010178941852,0.396104621926427,0.0742253845743972,0.940831047590579,0.993984377039373
"AT4G02350",1444.05379630946,0.00867826752145586,0.117139850451566,0.0740846730468045,0.940943010880997,0.993984377039373
"AT5G07780",77.5297920827524,-0.0259100078659306,0.349658102173238,-0.0741009795136779,0.940930035866534,0.993984377039373
"AT5G20660",1995.0967717029,0.00758569170999652,0.102176294745095,0.074241209557667,0.94081845582258,0.993984377039373
"AT5G37410",24.8628364457743,-0.0337118005026904,0.455400220729999,-0.0740267548589479,0.940989096363324,0.993985414640988
"ATMG00650",5.17198204723127,-0.0676703773279146,0.91675568237285,-0.0738150617760695,0.941157542156967,0.994115697567832
"AT2G19440",56.9961957995968,0.023715957180713,0.32167473251979,0.0737265155859079,0.941227999814076,0.994116285345038
"AT3G08980",135.823663294428,-0.0158375406016219,0.214889138044853,-0.0737009824959889,0.941248316998347,0.994116285345038
"AT1G09840",1098.36602460812,0.0116215081830757,0.157960890948281,0.0735720602315469,0.941350903575737,0.994129408180602
"AT1G15570",375.468995353034,0.013439661241487,0.18309686574595,0.0734019186332485,0.941486290867472,0.994129408180602
"AT1G31360",332.871579856886,-0.012743705148215,0.173544136336632,-0.0734320698885236,0.941462298393986,0.994129408180602
"AT1G48870",5.49602109049937,-0.0666474113992164,0.90590426320456,-0.0735700383652648,0.941352512431604,0.994129408180602
"AT3G48470",120.598724295969,-0.016024640797943,0.218007721532228,-0.0735049230610579,0.941404326638491,0.994129408180602
"AT4G27970",93.1436828276588,-0.0199657780106254,0.272698613209025,-0.0732155465540321,0.941634595229492,0.994143106719726
"AT5G16450",615.204147210794,0.0129375404327403,0.176566621950356,0.0732728546869852,0.941588992442142,0.994143106719726
"AT5G57460",1690.03522590619,0.00831210135444401,0.113492347399014,0.0732393112393783,0.941615684524018,0.994143106719726
"AT1G65980",9694.21370548977,0.00944859976617664,0.129530726162041,0.0729448529019792,0.941850001533918,0.99432289024213
"AT1G24360",3063.54142470107,0.00806093025501855,0.110844971104159,0.0727225617429575,0.942026894408419,0.994399186091403
"AT2G06990",1246.66011118233,0.00815818161423606,0.1121120011888,0.0727681383592241,0.941990625622181,0.994399186091403
"AT4G26880",123.726634204101,-0.0188700842856573,0.25967411494382,-0.0726683300325863,0.942070050869119,0.994399186091403
"AT5G59270",27.6680400325458,-0.0382683655886363,0.52691485920444,-0.0726272279480136,0.942102759161558,0.994399186091403
"AT1G30580",6968.31584701717,-0.00949570192006935,0.130969368268031,-0.0725032276298089,0.942201436954178,0.994408087141237
"AT3G11450",2211.11151897979,0.0101726164291644,0.140262559527955,0.0725255297165524,0.942183689186741,0.994408087141237
"AT5G25060",1593.27035762684,0.00833525531696378,0.115101602187859,0.0724165012347934,0.942270453185211,0.994433303672813
"AT2G39000",321.941123464817,0.0127103902768822,0.176005618926876,0.0722158210310481,0.942430154685085,0.994458977684937
"AT3G19640",1000.9476603317,0.00885012735943941,0.122533355588605,0.0722262710992176,0.942421838453569,0.994458977684937
"AT3G25220",2032.67502311953,-0.00949512934954505,0.131370672263111,-0.0722773902726786,0.942381157576748,0.994458977684937
"AT1G20890",305.938444058532,0.0140337750486581,0.194703452385292,0.0720776898238408,0.942540080978322,0.99446445452349
"AT2G44440",234.355297276549,0.0143696308400203,0.199383835096495,0.0720701898078441,0.942546049602676,0.99446445452349
"AT4G35320",172.108981586069,-0.0208464779318287,0.289604857508046,-0.0719824871419831,0.942615844928813,0.99446445452349
"AT5G55350",16.6094328201724,-0.0427853246375395,0.594126513301632,-0.0720138281656146,0.942590903139597,0.99446445452349
"AT4G40042",464.709045190136,-0.0118082216030439,0.164229360579318,-0.0719007950916355,0.942680857297637,0.994485434807339
"AT3G15470",785.546484506445,0.00895569859455318,0.124679840250636,0.0718295642386944,0.942737544722221,0.994489937251329
"AT5G59613",6090.54629278785,-0.00995685811085783,0.138709628787079,-0.0717820255012123,0.942775377486831,0.994489937251329
"AT1G53030",215.091329454021,-0.0171854604954252,0.240082708741416,-0.0715814170271424,0.942935029196723,0.994563136471589
"AT2G35010",777.544002985714,-0.00875109015637123,0.122234125195973,-0.0715928562694006,0.942925925359151,0.994563136471589
"AT1G07700",180.592916934956,-0.0128489155208575,0.180574744525188,-0.0711556621865534,0.943273868375068,0.994662057893092
"AT1G15050",14.9864886191358,-0.0392932876454248,0.553833901117759,-0.0709477833807614,0.943439313524635,0.994662057893092
"AT1G68990",590.412413516192,-0.00938575796843959,0.131810723385799,-0.0712063307699803,0.943233542983173,0.994662057893092
"AT2G06345",12.9786664781722,-0.0468345621234576,0.658641635662334,-0.0711078067154994,0.943311955040583,0.994662057893092
"AT2G21187",5.82421948390599,-0.060329705025821,0.849993632180305,-0.0709766552851346,0.943416335006525,0.994662057893092
"AT2G39620",36.7547015283719,0.0277768636031344,0.38985352171435,0.0712494874510505,0.94319919617207,0.994662057893092
"AT2G47640",829.586061503661,-0.0128341371000792,0.181026468810547,-0.0708964671542628,0.943480155104692,0.994662057893092
"AT3G52300",11879.7250229572,0.00881501915271612,0.124269194506315,0.0709348699630314,0.943449591047005,0.994662057893092
"AT4G28450",834.309681655457,-0.0101640783517498,0.143141197041892,-0.071007358900144,0.94339189872159,0.994662057893092
"AT5G46460",88.4263852828489,0.0176747739486979,0.248385669514593,0.0711585897175099,0.943271538449388,0.994662057893092
"AT1G30475",36.9447422112663,-0.0276595036123224,0.392022144322637,-0.0705559724441446,0.943751151937378,0.99490016198976
"AT1G20640",675.409015705582,-0.0145978733057242,0.207693921826391,-0.0702855104153042,0.943966414998081,0.994947344310506
"AT1G67350",3615.29731501804,-0.00930472799602601,0.132100953231342,-0.0704364939723872,0.94384624537763,0.994947344310506
"AT1G69680",177.825726657081,-0.0142086442840886,0.20196290740763,-0.0703527418300168,0.94391290455265,0.994947344310506
"AT4G01320",2130.31699691467,0.00703866112029698,0.100161893093003,0.0702728443217562,0.943976496151573,0.994947344310506
"AT2G43090",3221.56763309402,-0.0101270440903251,0.144708940455917,-0.0699821590733717,0.944207859814669,0.995065913947659
"AT3G52170",301.360759133296,0.01325928110704,0.189222743328489,0.0700723437035368,0.944136079106298,0.995065913947659
"AT3G60040",111.747201147552,0.0163936887607393,0.234325043470314,0.0699613174842585,0.944224448338027,0.995065913947659
"AT1G07150",191.3911221699,0.0204946572476349,0.293269252209998,0.0698834163254164,0.944286452710555,0.995083672588113
"AT1G54440",418.500113910011,0.0103977882909642,0.14970064726527,0.0694572032981215,0.944625697164007,0.995291428768685
"AT3G07200",145.438279664244,-0.0145199975387045,0.209195449897569,-0.0694087636505195,0.944664253360313,0.995291428768685
"AT4G24805",261.844557126613,0.0115820635168034,0.166514512713492,0.0695558803137581,0.94454715425275,0.995291428768685
"AT5G49305",6.1320279455581,-0.0630508587571077,0.90786923836699,-0.0694492731910589,0.944632009231698,0.995291428768685
"AT1G55280",61.7359360999797,-0.0213847505773253,0.308439018186394,-0.0693321834023028,0.944725208714836,0.99529170030369
