GeneID,trivial_name,aux_sens,intersection
AT5G67190,AP2EREBP_DEAR2_colamp_a,FALSE,AT1G05850/AT1G05850/AT1G05850/AT1G10480/AT1G13260/AT1G22810/AT1G28360/AT1G28370/AT1G43160/AT1G43160/AT1G62300/AT1G76800/AT2G19590/AT2G25820/AT2G47460/AT2G47520/AT3G16770/AT3G23150/AT3G24500/AT3G50060/AT3G50260/AT3G59060/AT3G61630/AT4G20380/AT4G27440/AT4G36900/AT4G37770/AT4G38130/AT4G38130/AT5G02840/AT5G07310/AT5G13910/AT5G19790/AT5G44030/AT5G47230/AT5G53290/AT5G61590/AT5G61890/AT5G67300
AT2G23340,AP2EREBP_DEAR3_col_a,FALSE,AT1G05850/AT1G28370/AT1G62300/AT2G19590/AT3G50260/AT3G61630/AT4G27440/AT4G36900/AT5G67300
AT2G23340,AP2EREBP_DEAR3_colamp_a,FALSE,AT1G05850/AT1G05850/AT1G13260/AT1G22810/AT1G28370/AT1G43160/AT1G62300/AT1G76800/AT2G19590/AT2G25820/AT2G47460/AT3G16770/AT3G23150/AT3G50260/AT3G59060/AT3G61630/AT4G27440/AT4G36900/AT4G38130/AT5G07310/AT5G10720/AT5G53290/AT5G67300
AT4G06746,AP2EREBP_DEAR5_col_a,FALSE,AT1G05850/AT1G28370/AT1G43160/AT1G62300/AT2G19590/AT3G50260/AT3G61630/AT4G27440/AT5G67300
AT2G38340,AP2EREBP_DREB19_col_a,TRUE,
AT2G38340,AP2EREBP_DREB19_colamp_a,TRUE,AT1G05850/AT1G05850/AT1G13260/AT1G22810/AT1G62300/AT1G76800/AT1G77640/AT2G19590/AT2G25820/AT2G44840/AT3G04580/AT3G16770/AT3G20860/AT3G23150/AT3G50260/AT3G61630/AT3G61630/AT4G27440/AT4G36900/AT4G38130/AT5G07310/AT5G10720/AT5G47230/AT5G61890/AT5G67300
AT1G03800,AP2EREBP_ERF10_col_a,FALSE,AT2G44940/AT2G47520/AT5G10720/AT5G19790
AT5G51190,AP2EREBP_ERF105_col,FALSE,AT1G05850/AT1G28360/AT1G36060/AT2G47520/AT3G04580/AT3G04720/AT3G15010/AT3G23150/AT3G24500/AT3G51430/AT4G32940/AT4G37580/AT4G38130/AT5G10720/AT5G19790/AT5G61590
AT5G51190,AP2EREBP_ERF105_colamp_a,FALSE,AT1G05850/AT1G28360/AT1G36060/AT2G47520/AT3G04580/AT3G04720/AT3G15010/AT3G23150/AT3G24500/AT3G51430/AT4G32940/AT4G37580/AT4G38130/AT5G10720/AT5G19790/AT5G61590
AT1G28370,AP2EREBP_ERF11_col_b,TRUE,AT1G36060/AT2G47520/AT3G15010/AT3G24500/AT3G61630/AT4G37580/AT4G38130/AT5G10720/AT5G19790/AT5G61590/AT5G61590
AT5G07310,AP2EREBP_ERF115_col_a,TRUE,AT4G37580
AT5G07310,AP2EREBP_ERF115_colamp_a,TRUE,AT1G62300/AT2G47520/AT3G24500/AT3G51430/AT3G51430/AT3G61630/AT4G11140/AT4G37580/AT5G04950/AT5G10720/AT5G44210/AT5G61590
